date,prcp_era,prcp_mswep,prcp_gsmap,prcp_chirps,t_mean,t_min,t_max,dew_mean,wind_speed,vp1,vp2,srad
2005-10-27,1.0818174814374,0.344683499288762,,0.508967302831283,-0.8285984478981163,-7.659261193127463,4.269971558942871,-10.470772277612582,2.021310765365962,279.0512720784991,275.2172698769051,184.28087987249967
2005-10-28,0.2770618024297277,0.0259601706970128,,0.0,-3.537156439895682,-8.64676767891791,1.7843103147171746,-9.102607215062733,1.0359727462122703,310.8186531047205,306.7040907884696,162.81135221943347
2005-10-29,0.0011204484635952,0.0,,0.0372691246149645,-1.287361695635525,-8.196028222119196,4.998453267923878,-10.393301603331224,2.0414559253069986,280.7694664047429,276.9202003979865,176.358030259387
2005-10-30,2.3958966982579,1.02622688477952,,3.458448453090972,1.0624914545074375,-3.852171324158178,5.312802716206249,-7.243662667216711,2.0224639086792098,359.1391378262004,354.6027623430828,154.56035309419323
2005-10-31,9.5282079307891,5.9676386913229,,3.110556141629731,0.3080553216882435,-1.7564854117770778,2.906546289735786,-1.761663290326794,0.9336640174933072,542.9104158003008,536.7873173954431,79.12593983806377
2005-11-01,8.742487076705102,6.11290896159317,,0.728802429671518,-2.926063838462482,-5.4889850382988925,-0.6229116031991566,-4.088475515248547,1.5116182316962132,456.6218606780971,451.2429671744499,53.57416835248036
2005-11-02,5.476251865034699,4.59317211948791,,0.770249916743242,-4.224218283603591,-6.1707374621903455,-2.8130053635346712,-6.374044593427527,0.982460505671936,383.95812190939887,379.2065566857214,72.92612818921869
2005-11-03,12.8845104529403,11.3881578947368,,4.509133958468252,-4.53174808231995,-10.014012614030491,-2.27251979324069,-6.0175074542760285,1.777042879987234,394.5673327794873,389.723980387297,27.29630439870952
2005-11-04,0.2175444676052019,0.112197724039829,,0.123276617438216,-10.566365324550873,-13.973983397712004,-7.89568297511039,-14.812778235690756,1.1613826202201307,196.52119000375305,193.4396643236104,89.06392810213737
2005-11-05,1.4855956306748002,0.520448079658606,,0.0,-8.621581638763644,-13.186769304420636,-6.505145654166483,-13.002377787667058,0.97751868073474,227.8193407891596,224.447008353718,56.61034319883119
